Fecha;Hora;Importe;"Tipo de combustible";"Litros suministrados";"Número de surtidor (o calle)";"Número de ticket"
2026-06-03;11:31:16;-20,00;"GASOLEO A";-12,995;1;2026086361
2026-06-03;11:31:16;15,25;"GASOLEO A";9,909;3;2026086361
2026-06-03;11:32:10;20,00;"GASOLEO A";12,995;1;2026086362
2026-06-03;11:32:48;20,00;"SIN PLOMO 95";15,094;2;2026086363
2026-06-03;11:35:19;50,00;"GASOLEO A";32,489;2;2026086364
2026-06-03;11:38:03;74,49;"GASOLEO A";48,402;4;2026086365
2026-06-03;11:38:55;30,00;"SIN PLOMO 95";22,642;2;2026006468
2026-06-03;11:39:17;50,00;"GASOLEO A";32,489;1;2026086366
2026-06-03;11:39:53;14,14;"SIN PLOMO 95";10,672;3;2026086367
2026-06-03;11:40:13;30,00;"GASOLEO A";19,493;3;2026086368
2026-06-03;11:40:35;10,00;"SIN PLOMO 95";7,547;4;2026086369
2026-06-03;11:42:01;20,00;"GASOLEO A";12,995;2;2026086370
2026-06-03;11:43:55;30,00;"GASOLEO A";19,493;1;2026086371
2026-06-03;11:44:05;30,00;"SIN PLOMO 95";22,642;4;2026086372
2026-06-03;11:45:21;50,00;"GASOLEO A";32,489;2;2026086373
2026-06-03;11:49:54;50,00;"GASOLEO A";32,489;2;2026086375
2026-06-03;11:51:18;10,00;"SIN PLOMO 95";7,547;3;2026086376
2026-06-03;11:54:40;3,20;"SIN PLOMO 95";2,415;3;2026086377
2026-06-03;11:55:17;20,00;"GASOLEO A";12,995;2;2026086378
2026-06-03;11:57:09;40,00;"GASOLEO A";25,991;1;2026086379
2026-06-03;11:58:06;50,00;"GASOLEO A";32,489;4;2026086380
2026-06-03;12:00:49;6,62;"SIN PLOMO 95";5,000;3;2026086381
2026-06-03;12:01:18;50,00;"GASOLEO A";32,489;1;2026086382
2026-06-03;12:05:22;40,00;"GASOLEO A";25,991;1;2026086383
2026-06-03;12:05:34;20,00;"GASOLEO A";12,995;2;2026086384
2026-06-03;12:11:23;20,00;"GASOLEO A";12,995;1;2026086385
2026-06-03;12:13:13;67,01;"GASOLEO A";43,541;2;2026086386
2026-06-03;12:13:36;20,00;"SIN PLOMO 95";15,094;4;2026086387
2026-06-03;12:13:52;10,00;"SIN PLOMO 95";7,547;1;2026086388
2026-06-03;12:14:07;10,00;"GASOLEO A";6,498;3;2026086389
2026-06-03;12:17:21;50,00;"GASOLEO A";32,489;4;2026086391
2026-06-03;12:20:40;30,00;"GASOLEO A";19,493;1;2026086393
2026-06-03;12:21:13;15,00;"SIN PLOMO 95";11,321;4;2026086394
2026-06-03;12:21:53;60,00;"GASOLEO A";38,986;3;2026006469
2026-06-03;12:22:41;50,00;"GASOLEO A";32,489;2;2026006470
2026-06-03;12:23:38;20,00;"GASOLEO A";12,995;4;2026086395
2026-06-03;12:26:11;25,00;"GASOLEO A";16,244;2;2026086396
2026-06-03;12:26:25;20,00;"SIN PLOMO 95";15,094;4;2026086397
2026-06-03;12:26:57;67,02;"GASOLEO A";43,548;1;2026086398
2026-06-03;12:27:25;25,00;"GASOLEO A";16,244;3;2026086399
