Fecha;Hora;Importe;"Tipo de combustible";"Litros suministrados";"Número de surtidor (o calle)";"Número de ticket"
2026-05-11;11:29:02;10,00;"SIN PLOMO 95";7,424;3;2026073937
2026-05-11;11:29:45;54,30;"GASOLEO A";34,389;4;2026073938
2026-05-11;11:30:07;8,00;"SIN PLOMO 95";5,939;1;2026073939
2026-05-11;11:31:03;20,00;"GASOLEO A";12,666;3;2026073940
2026-05-11;11:31:28;60,00;"GASOLEO A";37,999;4;2026073941
2026-05-11;11:31:38;500,00;"SIN PLOMO 95";371,195;2;2026073942
2026-05-11;11:32:55;50,00;"GASOLEO A";31,666;1;2026073943
2026-05-11;11:33:40;10,00;"GASOLEO A";6,333;3;2026073944
2026-05-11;11:35:48;20,00;"GASOLEO A";12,666;4;2026073945
2026-05-11;11:38:50;20,00;"SIN PLOMO 95";14,848;1;2026073946
2026-05-11;11:40:07;20,00;"GASOLEO A";12,666;4;2026073947
2026-05-11;11:40:22;500,00;"SIN PLOMO 95";371,195;2;2026073948
2026-05-11;11:43:11;25,00;"GASOLEO A";15,833;1;2026073949
2026-05-11;11:46:57;40,00;"GASOLEO A";25,332;3;2026073950
2026-05-11;11:49:44;540,00;"SIN PLOMO 95";400,891;2;2026073951
2026-05-11;11:50:10;40,00;"SIN PLOMO 95";29,696;4;2026073952
2026-05-11;11:54:53;50,00;"SIN PLOMO 95";37,120;1;2026073953
2026-05-11;11:55:45;68,34;"GASOLEO A";43,281;4;2026073954
2026-05-11;11:56:29;20,00;"GASOLEO A";12,666;3;2026073955
2026-05-11;11:58:19;20,00;"GASOLEO A";12,666;4;2026073956
2026-05-11;11:58:32;20,00;"SIN PLOMO 95";14,848;1;2026073957
2026-05-11;11:59:01;50,00;"GASOLEO A";31,666;3;2026005486
2026-05-11;12:01:09;40,00;"GASOLEO A";25,332;4;2026073958
2026-05-11;12:01:39;-133,35;"SIN PLOMO 95";-98,998;2;2026073959
2026-05-11;12:01:47;133,35;"SIN PLOMO 95";98,998;2;2026073960
2026-05-11;12:02:19;50,00;"GASOLEO A";31,666;3;2026073961
2026-05-11;12:04:38;61,00;"GASOLEO A";38,632;1;2026073963
2026-05-11;12:07:25;72,00;"GASOLEO A";45,598;4;2026073965
2026-05-11;12:07:49;13,09;"SIN PLOMO 95";9,718;1;2026073966
2026-05-11;12:09:14;86,18;"GASOLEO A";54,579;3;2026073967
2026-05-11;12:09:21;40,00;"GASOLEO A";25,332;4;2026073968
2026-05-11;12:11:57;50,00;"GASOLEO A";31,666;2;2026073969
2026-05-11;12:14:53;10,00;"GASOLEO A";6,333;1;2026073970
2026-05-11;12:15:12;30,00;"GASOLEO A";18,999;4;2026073971
2026-05-11;12:16:41;50,00;"GASOLEO A";31,666;1;2026005487
2026-05-11;12:19:55;19,92;"SIN PLOMO 95";14,788;3;2026073972
2026-05-11;12:20:05;20,00;"GASOLEO A";12,666;2;2026073973
2026-05-11;12:23:07;50,00;"GASOLEO A";31,666;2;2026073974
2026-05-11;12:24:44;50,00;"GASOLEO A";31,666;4;2026073975
2026-05-11;12:27:47;6,74;"SIN PLOMO 95";5,004;1;2026073976
2026-05-11;12:31:07;30,00;"GASOLEO A";18,999;1;2026073978
2026-05-11;12:34:20;30,00;"GASOLEO A";18,999;3;2026073981
2026-05-11;12:34:58;5,00;"SIN PLOMO 95";3,712;4;2026073982
2026-05-11;12:39:42;75,00;"GASOLEO A";47,498;2;2026073983
2026-05-11;12:41:12;26,00;"GASOLEO A";16,466;3;2026073985
2026-05-11;12:41:29;20,00;"GASOLEO A";12,666;4;2026073986
2026-05-11;12:43:17;20,00;"GASOLEO A";12,666;2;2026073987
2026-05-11;12:43:52;25,00;"GASOLEO A";15,833;1;2026073988
2026-05-11;12:45:27;20,00;"SIN PLOMO 95";14,848;3;2026073989
2026-05-11;12:45:36;-0,30;"GASOLEO A";-0,190;1;2026073990
2026-05-11;12:47:18;50,00;"GASOLEO A";31,666;4;2026073991
2026-05-11;12:49:12;40,00;"GASOLEO A";25,332;2;2026073992
2026-05-11;12:49:21;10,00;"GASOLEO A";6,333;3;2026073993
2026-05-11;12:49:59;57,70;"GASOLEO A";36,542;1;2026073994
2026-05-11;12:51:23;5,00;"SIN PLOMO 95";3,712;3;2026073995
2026-05-11;12:52:37;10,00;"GASOLEO A";6,333;1;2026073996
2026-05-11;12:52:59;46,62;"SIN PLOMO 95";34,610;4;2026073997
2026-05-11;12:53:24;10,00;"SIN PLOMO 95";7,424;4;2026073999
2026-05-11;12:54:52;20,00;"GASOLEO A";12,666;3;2026074000
2026-05-11;12:56:34;51,06;"GASOLEO A";32,337;2;2026074001
2026-05-11;12:57:26;20,00;"SIN PLOMO 95";14,848;4;2026074002
2026-05-11;13:00:46;50,82;"SIN PLOMO 95";37,728;2;2026074004
2026-05-11;13:01:20;50,00;"GASOLEO A";31,666;3;2026074005
2026-05-11;13:03:29;20,00;"GASOLEO A";12,666;2;2026074006
2026-05-11;13:05:49;20,00;"GASOLEO A";12,666;1;2026074007
2026-05-11;13:06:43;20,00;"SIN PLOMO 95";14,848;3;2026074008
2026-05-11;13:07:21;5,00;"SIN PLOMO 95";3,712;4;2026074009
2026-05-11;13:09:53;20,00;"GASOLEO A";12,666;2;2026074010
2026-05-11;13:11:22;20,00;"GASOLEO A";12,666;1;2026074012
2026-05-11;13:11:43;10,00;"SIN PLOMO 95";7,424;3;2026074013
2026-05-11;13:12:54;20,00;"GASOLEO A";12,666;2;2026074014
2026-05-11;13:13:40;10,00;"GASOLEO A";6,333;4;2026074015
2026-05-11;13:13:57;30,00;"GASOLEO A";18,999;1;2026074016
2026-05-11;13:15:37;5,00;"GASOLEO A";3,167;2;2026074017
2026-05-11;13:17:03;10,00;"GASOLEO A";6,333;4;2026074020
2026-05-11;13:17:06;2,00;"SIN PLOMO 95";1,485;3;2026074021
2026-05-11;13:18:33;30,00;"GASOLEO A";18,999;2;2026074022
2026-05-11;13:19:33;30,00;"SIN PLOMO 95";22,272;4;2026074023
2026-05-11;13:20:34;40,00;"GASOLEO A";25,332;3;2026074024
2026-05-11;13:21:41;10,00;"SIN PLOMO 95";7,424;2;2026074025
2026-05-11;13:21:53;10,06;"SIN PLOMO 95";7,468;1;2026074026
2026-05-11;13:22:33;30,00;"SIN PLOMO 95";22,272;4;2026074027
2026-05-11;13:24:31;2,50;"SIN PLOMO 95";1,856;1;2026074028
2026-05-11;13:28:25;10,00;"GASOLEO A";6,333;2;2026074029
2026-05-11;13:28:56;60,00;"GASOLEO A";37,999;4;2026074030
2026-05-11;13:29:05;10,00;"GASOLEO A";6,333;1;2026074031
2026-05-11;13:32:00;30,00;"GASOLEO A";18,999;2;2026074033
2026-05-11;13:32:24;30,00;"GASOLEO A";18,999;4;2026074034
2026-05-11;13:35:25;20,00;"GASOLEO A";12,666;4;2026074035
2026-05-11;13:35:53;150,00;"GASOLEO A";94,997;2;2026005488
2026-05-11;13:37:34;20,00;"GASOLEO A";12,666;1;2026074036
2026-05-11;13:38:29;30,00;"GASOLEO A";18,999;4;2026074037
2026-05-11;13:39:54;5,00;"GASOLEO A";3,167;1;2026074038
2026-05-11;13:42:03;20,00;"GASOLEO A";12,666;1;2026074039
2026-05-11;13:42:23;60,00;"GASOLEO A";37,999;4;2026074040
2026-05-11;13:43:32;20,00;"GASOLEO A";12,666;2;2026074041
2026-05-11;13:47:49;83,06;"GASOLEO A";52,603;3;2026074042
2026-05-11;13:48:41;62,72;"GASOLEO A";39,721;1;2026074044
2026-05-11;13:48:47;20,00;"SIN PLOMO 95";14,848;2;2026074045
2026-05-11;13:49:00;60,00;"GASOLEO A";37,999;4;2026074046
2026-05-11;13:53:43;50,00;"GASOLEO A";31,666;2;2026074048
2026-05-11;13:54:44;25,93;"SIN PLOMO 95";19,250;1;2026074049
2026-05-11;13:55:00;30,00;"GASOLEO A";18,999;4;2026074050
2026-05-11;13:55:34;20,00;"GASOLEO A";12,666;1;2026074051
2026-05-11;13:57:24;40,00;"SIN PLOMO 95";29,696;3;2026074053
2026-05-11;13:58:12;20,00;"GASOLEO A";12,666;1;2026074054
2026-05-11;13:59:59;40,00;"GASOLEO A";25,332;2;2026074056
2026-05-11;14:04:29;20,00;"GASOLEO A";12,666;2;2026074058
2026-05-11;14:06:09;20,00;"GASOLEO A";12,666;1;2026074060
2026-05-11;14:06:35;20,00;"GASOLEO A";12,666;4;2026074061
2026-05-11;14:08:00;20,00;"GASOLEO A";12,666;2;2026074062
2026-05-11;14:15:33;40,01;"SIN PLOMO 95";29,703;2;2026074063
2026-05-11;14:17:13;20,00;"SIN PLOMO 95";14,848;1;2026074064
2026-05-11;14:17:43;50,00;"GASOLEO A";31,666;2;2026074065
2026-05-11;14:19:39;63,00;"SIN PLOMO 95";46,771;4;2026074066
2026-05-11;14:23:33;50,00;"GASOLEO A";31,666;2;2026074067
2026-05-11;14:26:41;60,00;"GASOLEO A";37,999;4;2026074068
2026-05-11;14:29:05;10,00;"SIN PLOMO 95";7,424;3;2026074069
2026-05-11;14:30:53;39,68;"SIN PLOMO 95";29,458;2;2026074070
2026-05-11;14:31:31;60,00;"SIN PLOMO 95";44,543;4;2026005489
2026-05-11;14:46:10;20,00;"SIN PLOMO 95";14,848;2;2026074071
2026-05-11;14:47:17;20,00;"GASOLEO A";12,666;4;2026074072
2026-05-11;14:48:19;8,00;"SIN PLOMO 95";5,939;2;2026074073
2026-05-11;14:53:09;20,00;"GASOLEO A";12,666;2;2026074074
2026-05-11;15:01:59;50,00;"GASOLEO A";31,666;2;2026074076
2026-05-11;15:05:19;122,75;"GASOLEO A";77,739;1;2026074077
2026-05-11;15:05:51;30,00;"GASOLEO A";18,999;4;2026074078
2026-05-11;15:06:58;65,00;"GASOLEO A";41,165;3;2026074079
2026-05-11;15:07:07;50,00;"GASOLEO A";31,666;2;2026074080
2026-05-11;15:09:32;30,00;"SIN PLOMO 95";22,272;4;2026074081
2026-05-11;15:09:51;15,00;"GASOLEO A";9,500;2;2026074082
2026-05-11;15:11:03;20,00;"GASOLEO A";12,666;3;2026074083
2026-05-11;15:13:37;25,00;"GASOLEO A";15,833;2;2026074087
2026-05-11;15:13:50;5,00;"GASOLEO A";3,167;3;2026074088
2026-05-11;15:14:28;18,63;"SIN PLOMO 95";13,831;4;2026074089
2026-05-11;15:16:32;20,00;"GASOLEO A";12,666;4;2026074090
2026-05-11;15:17:18;30,00;"GASOLEO A";18,999;2;2026005490
2026-05-11;15:20:36;100,00;"GASOLEO A";63,331;2;2026074091
2026-05-11;15:21:02;40,00;"GASOLEO A";25,332;3;2026074092
2026-05-11;15:21:10;50,00;"SIN PLOMO 95";37,120;4;2026074093
2026-05-11;15:22:04;296,34;"SIN PLOMO 95";220,000;1;2026074094
2026-05-11;15:25:29;30,00;"GASOLEO A";18,999;4;2026074096
2026-05-11;15:33:46;20,00;"GASOLEO A";12,666;3;2026074097
2026-05-11;15:39:38;50,00;"GASOLEO A";31,666;2;2026005491
2026-05-11;15:40:04;30,00;"GASOLEO A";18,999;4;2026074098
2026-05-11;15:42:55;30,00;"GASOLEO A";18,999;4;2026074099
2026-05-11;15:44:58;30,00;"GASOLEO A";18,999;2;2026005492
2026-05-11;15:45:53;10,00;"SIN PLOMO 95";7,424;3;2026005493
2026-05-11;15:46:07;30,00;"GASOLEO A";18,999;4;2026074100
2026-05-11;15:48:33;296,34;"SIN PLOMO 95";220,000;1;2026074101
2026-05-11;15:48:56;10,00;"GASOLEO A";6,333;2;2026074102
2026-05-11;15:52:52;40,00;"GASOLEO A";25,332;1;2026074103
2026-05-11;15:53:46;50,00;"GASOLEO A";31,666;2;2026074104
2026-05-11;15:56:52;20,00;"GASOLEO A";12,666;4;2026074106
2026-05-11;16:01:25;6,74;"SIN PLOMO 95";5,000;1;2026074107
2026-05-11;16:04:03;20,00;"GASOLEO A";12,666;2;2026074110
2026-05-11;16:05:17;40,00;"GASOLEO A";25,332;4;2026074111
2026-05-11;16:08:23;56,63;"SIN PLOMO 95";42,042;1;2026074112
2026-05-11;16:08:53;20,00;"SIN PLOMO 95";14,848;3;2026074113
2026-05-11;16:10:58;50,00;"GASOLEO A";31,666;2;2026074114
2026-05-11;16:11:32;10,00;"GASOLEO A";6,333;4;2026074115
2026-05-11;16:12:18;3,60;"SIN PLOMO 95";2,673;3;2026074116
